Date | Time | Message Type | First Two Words | Elapsed Time | Unique ID
2023-09-28 | 18:42:25.470 | [DBG] | GWS Request | 00:00:00.2190125 | batchy
2023-09-28 | 18:42:55.487 | [DBG] | GWS Request | 00:00:00.0030002 | batchy
2023-09-28 | 18:42:55.690 | [DBG] | GWS Request | 00:00:00.2030116 | batchy
2023-09-28 | 18:42:55.940 | [DBG] | GWS Request | 00:00:00.2500143 | batchy
2023-09-28 | 18:43:25.954 | [DBG] | GWS Request | 00:00:00.0030002 | batchy
2023-09-28 | 18:43:26.192 | [DBG] | GWS Request | 00:00:00.2380136 | batchy
2023-09-28 | 18:43:26.441 | [DBG] | GWS Request | 00:00:00.2490142 | batchy
2023-09-28 | 18:44:10.041 | [DBG] | GWS Request | 00:00:13.5927774 | batchy
2023-09-28 | 18:44:10.255 | [DBG] | GWS Request | 00:00:00.2140123 | batchy
2023-09-28 | 18:44:10.505 | [DBG] | GWS Request | 00:00:00.2500143 | batchy
2023-09-28 | 18:44:40.522 | [DBG] | GWS Request | 00:00:00.0030001 | batchy
2023-09-28 | 18:44:40.725 | [DBG] | GWS Request | 00:00:00.2030116 | batchy
2023-09-28 | 18:44:40.975 | [DBG] | GWS Request | 00:00:00.2500143 | batchy
2023-09-28 | 18:44:54.324 | [DBG] | Command finished | 00:00:00.0220012 | batchy
2023-09-28 | 18:44:56.031 | [DBG] | Command finished | 00:00:00.0020001 | batchy
2023-09-28 | 18:44:56.354 | [INF] | Duplicate SynchronizeCompetitionCommand | 00:00:02.0431169 | batchy
2023-09-28 | 18:44:56.365 | [DBG] | Competition synchronization | 00:00:02.0543534 | batchy
2023-09-28 | 18:44:56.888 | [DBG] | Competition synchronization | 00:00:02.5779049 | batchy
2023-09-28 | 18:44:56.889 | [DBG] | Competition synchronization | 00:00:02.5808994 | batchy
2023-09-28 | 18:44:57.326 | [DBG] | Competition synchronization | 00:00:01.2948480 | batchy
2023-09-28 | 18:44:57.332 | [DBG] | Competition synchronization | 00:00:00.9667390 | batchy
2023-09-28 | 18:44:57.830 | [DBG] | Competition synchronization | 00:00:00.4976991 | batchy
2023-09-28 | 18:44:57.830 | [INF] | Available programs | 00:00:03.5154208 | batchy
2023-09-28 | 18:44:58.701 | [DBG] | Competition synchronization | 00:00:00.4850490 | batchy
2023-09-28 | 18:44:59.697 | [INF] | Duplicate SynchronizeCurrentCompetitionsCommand | 00:00:05.3913084 | batchy
2023-09-28 | 18:44:59.699 | [DBG] | Command finished | 00:00:00.0050003 | batchy
2023-09-28 | 18:45:02.237 | [INF] | Duplicate SynchronizeCurrentCompetitionsCommand | 00:00:07.9314537 | batchy
2023-09-28 | 18:45:08.369 | [DBG] | Command finished | 00:00:00.0020002 | batchy
2023-09-28 | 18:45:09.296 | [DBG] | Competition synchronization | 00:00:00.9285964 | batchy
2023-09-28 | 18:45:09.298 | [DBG] | Competition synchronization | 00:00:00.5806032 | batchy
2023-09-28 | 18:45:10.988 | [DBG] | GWS Request | 00:00:00.0020002 | batchy
2023-09-28 | 18:45:11.227 | [DBG] | GWS Request | 00:00:00.2390136 | batchy
2023-09-28 | 18:45:11.508 | [DBG] | GWS Request | 00:00:00.2810161 | batchy
2023-09-28 | 18:45:14.764 | [DBG] | Competition synchronization | 00:00:00.4699903 | batchy
2023-09-28 | 18:45:16.808 | [INF] | Available programs | 00:00:00.5652313 | batchy
2023-09-28 | 18:45:20.233 | [DBG] | Competition synchronization | 00:00:00.4629310 | batchy
2023-09-28 | 18:45:22.249 | [INF] | Duplicate SynchronizeCurrentCompetitionsCommand | 00:00:09.9995720 | batchy
2023-09-28 | 18:45:25.733 | [DBG] | Competition synchronization | 00:00:00.5035982 | batchy
